Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Isle of Man,Europe,85232,370,,25,,344,,1,,4341,293,19291,226335,
Bermuda,North America,62176,364,24,9,,229,1,126,2,5854,145,116258,1869821,Americas
Cambodia,Asia,16820418,356,2,,,307,,49,,21,,242754,14432,WesternPacific
Cayman Islands,North America,66061,292,,2,,266,,24,1,4420,30,55240,836197,
Barbados,North America,287531,290,,7,,264,,19,1,1009,24,50986,177323,Americas
Saint Lucia,North America,183998,271,,3,,177,,91,,1473,16,17063,92735,Americas
Seychelles,Africa,98616,184,,,,168,,16,,1866,,5200,52730,Africa
Caribbean Netherlands,North America,26330,172,,3,,160,,9,,6532,114,3873,147095,
St. Barth,North America,9890,162,,1,,127,,34,,16380,101,5315,537412,
Brunei ,Asia,439323,152,,3,,147,,2,,346,7,77829,177157,
Antigua and Barbuda,North America,98286,146,,4,,138,,4,2,1485,41,5022,51096,Americas
St. Vincent Grenadines,North America,111096,91,1,,,80,,11,,819,,11526,103748,
Dominica,North America,72065,85,,,,76,4,9,,1179,,6175,85687,Americas
British Virgin Islands,North America,30320,75,2,1,,72,1,2,,2474,33,8846,291755,
Macao,Asia,653217,46,,,,46,,0,,70,,4238,6488,
Fiji,Australia/Oceania,899310,44,,2,,35,,7,,49,2,17576,19544,WesternPacific
Grenada,North America,112753,43,,,,41,,2,,381,,6252,55449,Americas
Laos,Asia,7321822,41,,,,33,5,8,,6,,83753,11439,WesternPacific
New Caledonia,Australia/Oceania,286706,36,,,,32,,4,,126,,18012,62824,
Timor-Leste,Asia,1329402,31,,,,30,,1,,23,,14932,11232,South-EastAsia
Vatican City,Europe,802,27,,,,15,,12,,33666,,,,Europe
Saint Kitts and Nevis,North America,53365,26,1,,,23,,3,,487,,4358,81664,Americas
Greenland,North America,56814,19,,,,18,,1,,334,,13742,241877,Europe
Falkland Islands,South America,3524,17,,,,17,,0,,4824,,4746,1346765,
Solomon Islands,Australia/Oceania,694195,17,,,,5,,12,,24,,4500,6482,WesternPacific
Saint Pierre Miquelon,North America,5781,14,,,,14,,0,,2422,,2882,498530,
Montserrat,North America,4993,13,,1,,12,,0,,2604,200,626,125376,
Western Sahara,Africa,603713,10,,1,,8,,1,,17,2,,,Africa
Anguilla,North America,15062,10,,,,3,,7,,664,,2651,176006,
